Language     , Static Typing  , Strong Typing , Type Inference , Polymorphism                    , Garbage Collection , Concurrency       , Compiled/Interpreted , Performance  
Fortran      , Static         , Strong        , No             , Ad-hoc + Parametric             , No                 , No                , Compiled             , Native       
Go           , Static         , Strong        , Yes            , Parametric                      , Yes                , Green Threads      , Compiled             , High         
Rust         , Static         , Strong        , Yes            , Ad-hoc + Parametric + Traits    , No                 , Async + Threads   , Compiled             , Native       
ML/SML       , Static         , Strong        , Yes            , Ad-hoc + Parametric             , Yes                , No                , Both*                , High         
OCaML        , Static         , Strong        , Yes            , Ad-hoc + Inheritance + Parametric , Yes               , Threads           , Both*                , High         
Haskell      , Static         , Strong        , Yes            , Ad-hoc + Parametric + Type Classes , Yes              , Async             , Both*                , High         
F#           , Static         , Strong        , Yes            , Ad-hoc + Inheritance + Parametric + Type Classes , Yes , Async + Threads   , Both*                , High         
Simula       , Static         , Strong        , No             , Inheritance                    , No                 , No                , Compiled             , Native       
Eiffel       , Static         , Strong        , No             , Ad-hoc + Inheritance + Parametric , Yes               , No                , Compiled             , Native       
Java         , Static         , Strong        , No*            , Ad-hoc + Inheritance + Parametric , Yes               , Threads           , Just-In-Time         , Medium       
C#           , Static         , Strong        , No*            , Ad-hoc + Inheritance + Parametric , Yes               , Async             , Just-In-Time         , Medium       
Objective-C  , Static         , Strong        , No*            , Ad-hoc + Inheritance          , Yes                 , Threads           , Compiled             , Medium       
Swift        , Static         , Strong        , Yes            , Ad-hoc + Inheritance + Parametric , Yes               , Async             , Compiled             , High         
Nim          , Static         , Strong        , Yes            , Ad-hoc + Inheritance + Parametric  , No               , Threads           , Compiled             , Native       
Scala        , Static         , Strong        , Yes            , Ad-hoc + Inheritance + Parametric + Subtype + Type Classes + Traits , Yes  , Actors , Just-In-Time  , Medium       
COBOL        , Static         , Weak          , No             , No                             , No                 , No                , Compiled             , Native       
C            , Static         , Weak          , No             , No                             , No                 , No                , Compiled             , Native       
C++          , Static         , Weak          , No*            , Ad-hoc + Inheritance + Parametric + Subtype , No       , Threads           , Compiled             , Native       
Erlang       , Dynamic        , Strong        , No             , Ad-hoc                         , Yes                , Green Threads     , Compiled             , Medium       
Elixir       , Dynamic        , Strong        , Yes            , Ad-hoc                         , Yes                , Actors            , Interpreted          , Medium       
Lisp         , Dynamic        , Strong        , No             , Ad-hoc + Subtype                , Yes                , No                , Both*                , Medium       
Smalltalk    , Dynamic        , Strong        , No             , Inheritance                    , Yes                , Threads           , Interpreted          , Medium       
Python       , Dynamic        , Strong        , Yes            , Ad-hoc + Inheritance + Parametric, Yes                , Threads + Async   , Interpreted          , Low          
Ruby         , Dynamic        , Strong        , Yes            , Ad-hoc + Inheritance            , Yes                , Threads           , Interpreted          , Low          
JavaScript   , Dynamic        , Weak          , No             , Ad-hoc + Inheritance            , Yes                , Async             , Just-In-Time         , Low          
Perl         , Dynamic        , Weak          , No             , Ad-hoc + Inheritance            , Yes                , Threads           , Interpreted          , Low          
